trial,width,crossORuncross,transient_counts,cdt,mdt,dtstd,key_press_list
1,5,-1,8,8.261105298995972,2.065276324748993,0.47824509923178127,"[1.693180799484253, 1.57346510887146, 2.2131762504577637, 2.781283140182495]"
2,5,-1,8,14.230436086654663,3.5576090216636658,1.1674132482857082,"[2.2694718837738037, 4.701703071594238, 2.5176970958709717, 4.741564035415649]"
3,1,-1,6,14.136402368545532,4.712134122848511,0.862359599349087,"[5.88542103767395, 4.413665056228638, 3.8373162746429443]"
4,10,-1,4,25.723451137542725,12.861725568771362,1.463979721069336,"[11.397745847702026, 14.325705289840698]"
5,10,1,6,18.680994033813477,6.226998011271159,1.786745499015954,"[5.349666118621826, 8.717834949493408, 4.613492965698242]"
6,30,-1,6,19.10446000099182,6.36815333366394,3.8751405493133375,"[8.189543962478638, 9.933725833892822, 0.9811902046203613]"
7,10,-1,8,23.010277032852173,5.752569258213043,2.1662479593669284,"[5.845941781997681, 5.005608081817627, 9.078552007675171, 3.0801751613616943]"
8,30,-1,8,21.35855793952942,5.339639484882355,1.8195559774849894,"[3.909566879272461, 8.381595134735107, 3.965608835220337, 5.101787090301514]"
9,30,-1,8,18.65676712989807,4.664191782474518,2.6509352234700065,"[7.117587089538574, 5.429686069488525, 5.911674976348877, 0.19781899452209473]"
10,1,1,10,11.621193408966064,2.324238681793213,0.5799600019337731,"[1.4544339179992676, 2.9333841800689697, 2.9576730728149414, 1.9336090087890625, 2.3420932292938232]"
11,30,1,6,20.25638723373413,6.752129077911377,3.2462779677951046,"[11.325431108474731, 4.813561916351318, 4.117394208908081]"
12,5,-1,0,0.0,0.0,0.0,[]
13,10,-1,8,12.206016063690186,3.0515040159225464,1.969773880619826,"[2.581399917602539, 0.10165715217590332, 5.373610973358154, 4.149348020553589]"
14,5,-1,4,4.13093113899231,2.065465569496155,0.8281024694442749,"[1.2373631000518799, 2.8935680389404297]"
15,5,1,6,7.519863605499268,2.5066212018330893,1.0620160824364788,"[1.3011257648468018, 2.333544969558716, 3.88519287109375]"
16,1,-1,6,3.832131862640381,1.2773772875467937,0.7438135896319402,"[0.973160982131958, 2.3015389442443848, 0.5574319362640381]"
17,30,1,4,20.715442657470703,10.357721328735352,7.800093412399292,"[18.157814741134644, 2.5576279163360596]"
18,1,1,6,5.61586332321167,1.8719544410705566,0.5808175088279495,"[2.6933019161224365, 1.4532363414764404, 1.469325065612793]"
19,30,-1,8,10.487116813659668,2.621779203414917,1.1864525848437422,"[4.526336908340454, 1.8852858543395996, 2.6617379188537598, 1.4137561321258545]"
20,10,1,6,12.328261852264404,4.109420617421468,0.18846799834038747,"[3.9173519611358643, 4.045415878295898, 4.365494012832642]"
21,1,-1,0,0.0,0.0,0.0,[]
22,10,1,6,19.44041132926941,6.48013710975647,3.87126125436206,"[11.541298866271973, 5.757449150085449, 2.1416633129119873]"
23,10,-1,6,17.800606966018677,5.933535655339559,5.817345711600619,"[3.493588924407959, 13.957718133926392, 0.34929990768432617]"
24,5,1,8,22.150943279266357,5.537735819816589,2.980062965619324,"[6.157658100128174, 1.157872200012207, 9.52566909790039, 5.309743881225586]"
25,5,-1,4,6.338639259338379,3.1693196296691895,0.38791847229003906,"[3.5572381019592285, 2.7814011573791504]"
26,30,-1,4,12.5068678855896,6.2534339427948,4.720013856887817,"[10.973447799682617, 1.5334200859069824]"
27,10,1,4,22.48320698738098,11.24160349369049,3.627994418144226,"[14.869597911834717, 7.613609075546265]"
28,30,1,4,25.387470245361328,12.693735122680664,4.688177108764648,"[17.381912231445312, 8.005558013916016]"
29,5,1,8,14.878239870071411,3.719559967517853,2.7052244034324344,"[8.141632080078125, 2.5098469257354736, 3.3574068546295166, 0.8693540096282959]"
30,1,1,4,11.858908891677856,5.929454445838928,0.9959763288497925,"[6.925430774688721, 4.933478116989136]"
31,1,-1,0,0.0,0.0,0.0,[]
32,1,-1,8,7.527738094329834,1.8819345235824585,1.3541907644604498,"[1.7034070491790771, 4.133313179016113, 1.0533509254455566, 0.6376669406890869]"
