trial,width,crossORuncross,transient_counts,cdt,mdt,dtstd,key_press_list
1,30,-1,12,7.641734600067139,1.2736224333445232,0.33669384209840686,"[1.3413071632385254, 1.7973458766937256, 1.0857517719268799, 1.2461130619049072, 1.4693779945373535, 0.7018387317657471]"
2,30,-1,12,12.71321702003479,2.118869503339132,1.474696979529332,"[0.5095632076263428, 1.909393310546875, 2.173398017883301, 0.3896012306213379, 4.677711009979248, 3.0535502433776855]"
3,30,-1,12,12.987752676010132,2.1646254460016885,0.6879567019688899,"[2.0134048461914062, 2.429892063140869, 1.2374048233032227, 1.5735058784484863, 3.391792058944702, 2.3417530059814453]"
4,5,-1,4,1.8187971115112305,0.9093985557556152,0.35999369621276855,"[1.2693922519683838, 0.5494048595428467]"
5,5,1,4,0.971027135848999,0.4855135679244995,0.11970365047454834,"[0.6052172183990479, 0.36580991744995117]"
6,10,-1,12,6.032818555831909,1.0054697593053181,0.39334304400780146,"[0.4776039123535156, 0.9012289047241211, 1.2533717155456543, 1.7257661819458008, 0.8693838119506836, 0.8054640293121338]"
7,1,-1,8,3.310051441192627,0.8275128602981567,0.2860719815116863,"[0.4613218307495117, 1.2458927631378174, 0.8932042121887207, 0.7096326351165771]"
8,5,-1,4,1.1386778354644775,0.5693389177322388,0.26783907413482666,"[0.8371779918670654, 0.3014998435974121]"
9,10,1,4,3.346465826034546,1.673232913017273,0.7960599660873413,"[0.8771729469299316, 2.4692928791046143]"
10,1,1,4,2.787031888961792,1.393515944480896,0.02026522159576416,"[1.3732507228851318, 1.4137811660766602]"
11,30,1,16,7.917948007583618,0.9897435009479523,0.45804582958275103,"[0.49349403381347656, 0.6778786182403564, 0.5657341480255127, 1.8535821437835693, 1.463521957397461, 1.3012230396270752, 0.7653708457946777, 0.7971432209014893]"
12,30,1,10,5.147475719451904,1.0294951438903808,0.6411764061954082,"[0.7017138004302979, 0.22981667518615723, 0.7175028324127197, 2.0452442169189453, 1.4531981945037842]"
13,1,1,6,2.3283917903900146,0.7761305967966715,0.5137508794003414,"[0.5573821067810059, 1.485522985458374, 0.28548669815063477]"
14,5,-1,4,1.2189249992370605,0.6094624996185303,0.34800052642822266,"[0.9574630260467529, 0.2614619731903076]"
15,10,-1,16,12.111029624938965,1.5138787031173706,0.8898951845838979,"[1.7898008823394775, 0.933521032333374, 1.1014621257781982, 2.613534927368164, 1.0295748710632324, 3.1497368812561035, 1.2238357067108154, 0.2695631980895996]"
16,10,1,8,4.237460613250732,1.059365153312683,0.28585075379609604,"[1.2930028438568115, 0.9176650047302246, 1.3654978275299072, 0.6612949371337891]"
17,10,1,10,5.635124444961548,1.1270248889923096,0.3292984010830671,"[0.9573650360107422, 1.605668067932129, 1.413473129272461, 0.7175471782684326, 0.9410710334777832]"
18,30,-1,16,13.11690354347229,1.6396129429340363,0.8487655125286183,"[0.4777400493621826, 1.7658460140228271, 3.2537641525268555, 2.621424674987793, 1.4935448169708252, 0.973660945892334, 1.0616297721862793, 1.4692931175231934]"
19,1,1,4,2.549104690551758,1.274552345275879,0.3732645511627197,"[1.6478168964385986, 0.9012877941131592]"
20,10,-1,16,10.622448205947876,1.3278060257434845,0.9390774370674106,"[1.165776014328003, 3.5098750591278076, 0.6373147964477539, 1.5495991706848145, 1.7335212230682373, 1.1191890239715576, 0.5017349720001221, 0.4054379463195801]"
21,5,1,12,6.546810865402222,1.0911351442337036,0.5668602351294832,"[0.6455578804016113, 0.2617931365966797, 1.7015891075134277, 1.9024128913879395, 1.02181077003479, 1.0136470794677734]"
22,10,1,8,5.503485441207886,1.3758713603019714,0.9467616422168391,"[0.41355323791503906, 2.5974338054656982, 1.9990956783294678, 0.49340271949768066]"
23,1,-1,8,2.0460855960845947,0.5115213990211487,0.2463141484651767,"[0.853410005569458, 0.6374359130859375, 0.29375171661376953, 0.2614879608154297]"
24,5,-1,8,2.9741430282592773,0.7435357570648193,0.579486480228205,"[0.45345401763916016, 1.6693930625915527, 0.10961484909057617, 0.7416810989379883]"
25,30,1,10,5.475427865982056,1.095085573196411,0.4389931300922769,"[1.2772879600524902, 0.7814347743988037, 0.8855631351470947, 0.661431074142456, 1.869710922241211]"
26,1,-1,6,1.192173719406128,0.39739123980204266,0.10754356453132971,"[0.4694218635559082, 0.24537110328674316, 0.47738075256347656]"
27,5,1,4,3.9948041439056396,1.9974020719528198,0.31192195415496826,"[2.309324026107788, 1.6854801177978516]"
28,5,1,6,3.648252010345459,1.2160840034484863,0.1960159542981236,"[1.477513074874878, 1.0055289268493652, 1.1652100086212158]"
29,1,1,6,1.2484748363494873,0.4161582787831624,0.17649740255463545,"[0.20545697212219238, 0.6373999118804932, 0.40561795234680176]"
30,10,-1,16,14.059986591339111,1.757498323917389,0.7653815891246145,"[1.4291508197784424, 1.2935290336608887, 2.085540771484375, 2.1575138568878174, 2.525402069091797, 0.4298980236053467, 2.949506998062134, 1.1894450187683105]"
31,1,-1,6,3.095583915710449,1.0318613052368164,0.2901695929854437,"[1.4370677471160889, 0.7731029987335205, 0.8854131698608398]"
32,30,1,12,5.4572460651397705,0.9095410108566284,0.4857786507557228,"[1.1815781593322754, 1.2857038974761963, 0.42148780822753906, 0.477492094039917, 1.6531741619110107, 0.43780994415283203]"
