trial,width,crossORuncross,transient_counts,cdt,mdt,dtstd,key_press_list
1,1,-1,0,0.0,0.0,0.0,[]
2,5,-1,2,6.245450973510742,6.245450973510742,0.0,[6.245450973510742]
3,30,1,10,27.292623281478882,5.4585246562957765,5.219752371600725,"[4.66166615486145, 0.08591508865356445, 8.997728109359741, 0.0377810001373291, 13.509532928466797]"
4,5,1,2,29.71809983253479,29.71809983253479,0.0,[29.71809983253479]
5,10,1,2,29.205916166305542,29.205916166305542,0.0,[29.205916166305542]
6,10,-1,2,22.045785903930664,22.045785903930664,0.0,[22.045785903930664]
7,5,-1,0,0.0,0.0,0.0,[]
8,30,-1,0,0.0,0.0,0.0,[]
9,5,1,2,29.367027044296265,29.367027044296265,0.0,[29.367027044296265]
10,5,-1,0,0.0,0.0,0.0,[]
11,30,-1,0,0.0,0.0,0.0,[]
12,1,1,3,28.35881805419922,14.17940902709961,14.946691989898682,"[29.12610101699829, -0.7672829627990723]"
13,30,1,4,10.706968069076538,5.353484034538269,3.4281500577926636,"[1.9253339767456055, 8.781634092330933]"
14,30,-1,0,0.0,0.0,0.0,[]
15,5,1,4,22.683821201324463,11.341910600662231,6.640146732330322,"[17.982057332992554, 4.701763868331909]"
16,10,-1,0,0.0,0.0,0.0,[]
17,5,-1,0,0.0,0.0,0.0,[]
18,1,1,6,23.769224643707275,7.923074881235759,7.0333492274038285,"[6.397418022155762, 0.17377781867980957, 17.198028802871704]"
19,10,1,2,1.6773428916931152,1.6773428916931152,0.0,[1.6773428916931152]
20,30,1,0,0.0,0.0,0.0,[]
21,1,1,2,21.91897225379944,21.91897225379944,0.0,[21.91897225379944]
22,1,-1,0,0.0,0.0,0.0,[]
23,10,-1,0,0.0,0.0,0.0,[]
24,5,1,2,13.797736883163452,13.797736883163452,0.0,[13.797736883163452]
25,30,1,0,0.0,0.0,0.0,[]
26,30,-1,0,0.0,0.0,0.0,[]
27,10,1,2,14.45360517501831,14.45360517501831,0.0,[14.45360517501831]
28,10,-1,2,16.79731583595276,16.79731583595276,0.0,[16.79731583595276]
29,1,1,2,26.957730054855347,26.957730054855347,0.0,[26.957730054855347]
30,10,1,16,6.452744245529175,0.8065930306911469,0.25187302012945495,"[0.6453359127044678, 0.6936092376708984, 0.8056659698486328, 0.4617919921875, 0.9418919086456299, 0.861858606338501, 0.6775598526000977, 1.3650307655334473]"
31,1,-1,0,0.0,0.0,0.0,[]
32,1,-1,0,0.0,0.0,0.0,[]
