trial,width,crossORuncross,transient_counts,cdt,mdt,dtstd,key_press_list
1,5,-1,2,1.237422227859497,1.237422227859497,0.0,[1.237422227859497]
2,1,-1,0,0.0,0.0,0.0,[]
3,5,-1,6,3.488373279571533,1.162791093190511,0.5030913308160936,"[1.7652959823608398, 1.1892461776733398, 0.5338311195373535]"
4,10,-1,8,19.319497108459473,4.829874277114868,2.30740644401094,"[5.317857980728149, 3.118406295776367, 2.493668794631958, 8.389564037322998]"
5,30,1,4,4.378491163253784,2.189245581626892,0.8320914506912231,"[1.357154130935669, 3.0213370323181152]"
6,5,1,6,6.08008599281311,2.0266953309377036,0.6606192075256485,"[1.1972160339355469, 2.0691452026367188, 2.8137247562408447]"
7,1,1,6,2.121964931488037,0.7073216438293457,0.5097499506543955,"[1.3414690494537354, 0.09332990646362305, 0.6871659755706787]"
8,5,1,6,2.112147808074951,0.704049269358317,0.14060719383049342,"[0.70123291015625, 0.877648115158081, 0.5332667827606201]"
9,10,-1,12,10.346056938171387,1.7243428230285645,1.4153128346697432,"[4.133526802062988, 0.4535069465637207, 3.197705030441284, 1.0382559299468994, 0.9895081520080566, 0.5335540771484375]"
10,10,1,4,2.562652349472046,1.281326174736023,0.5798400640487671,"[0.7014861106872559, 1.86116623878479]"
11,1,-1,0,0.0,0.0,0.0,[]
12,5,-1,2,0.9012830257415771,0.9012830257415771,0.0,[0.9012830257415771]
13,30,-1,8,8.15010666847229,2.0375266671180725,1.5620452493470394,"[1.045551061630249, 4.029228687286377, 3.005539894104004, 0.06978702545166016]"
14,10,1,12,8.107621431350708,1.3512702385584514,0.8340748718628914,"[0.16567420959472656, 1.9734621047973633, 0.8700957298278809, 2.789533853530884, 1.1974372863769531, 1.1114182472229004]"
15,1,-1,0,0.0,0.0,0.0,[]
16,5,-1,2,2.4211769104003906,2.4211769104003906,0.0,[2.4211769104003906]
17,30,-1,8,4.94988489151001,1.2374712228775024,0.5876512668270023,"[1.421726942062378, 0.6456868648529053, 2.1173040866851807, 0.7651669979095459]"
18,10,-1,8,9.632314205169678,2.4080785512924194,2.784533056698095,"[7.135654926300049, 1.685312032699585, 0.653541088104248, 0.1578061580657959]"
19,10,-1,8,11.613842487335205,2.9034606218338013,1.9397561958731282,"[4.261579990386963, 5.045689821243286, 0.03731989860534668, 2.2692527770996094]"
20,1,-1,0,0.0,0.0,0.0,[]
21,30,-1,6,7.968549966812134,2.6561833222707114,1.8470204438649511,"[1.9414360523223877, 5.189350843429565, 0.8377630710601807]"
22,30,-1,0,0.0,0.0,0.0,[]
23,10,1,8,4.262342214584351,1.0655855536460876,0.6764650504700414,"[1.8935279846191406, 1.4133172035217285, 0.06976008415222168, 0.8857369422912598]"
24,5,1,4,3.571202039718628,1.785601019859314,0.18783414363861084,"[1.9734351634979248, 1.5977668762207031]"
25,30,1,8,4.742008924484253,1.1855022311210632,0.93519542166053,"[0.5736360549926758, 1.7333507537841797, 2.405323028564453, 0.029699087142944336]"
26,1,1,2,0.41327404975891113,0.41327404975891113,0.0,[0.41327404975891113]
27,10,1,6,3.656111717224121,1.2187039057413738,0.7853964882479859,"[1.0936110019683838, 0.32545995712280273, 2.2370407581329346]"
28,1,1,0,0.0,0.0,0.0,[]
29,30,1,4,6.922492027282715,3.4612460136413574,2.384150981903076,"[1.0770950317382812, 5.845396995544434]"
30,5,1,4,4.330121040344238,2.165060520172119,0.06403255462646484,"[2.229093074798584, 2.1010279655456543]"
31,1,1,0,0.0,0.0,0.0,[]
32,30,1,6,4.472226858139038,1.490742286046346,0.5906947206696149,"[0.6852900981903076, 1.7015948295593262, 2.0853419303894043]"
