trial,width,crossORuncross,transient_counts,cdt,mdt,dtstd,key_press_list
1,30,1,12,10.728984594345093,1.7881640990575154,0.7611318641469257,"[0.7813658714294434, 1.1735649108886719, 1.5411369800567627, 2.7815990447998047, 1.653899908065796, 2.7974178791046143]"
2,10,1,16,9.557429790496826,1.1946787238121033,0.37821577225604625,"[0.7416300773620605, 1.485363245010376, 1.645475149154663, 1.5816371440887451, 1.23760986328125, 0.7497279644012451, 1.4216430187225342, 0.6943433284759521]"
3,10,-1,24,9.283328771591187,0.7736107309659322,0.33865045840945,"[0.925225019454956, 0.4616670608520508, 1.0778028964996338, 0.9415607452392578, 0.46961164474487305, 0.6537070274353027, 1.0378620624542236, 0.3417940139770508, 1.3015732765197754, 0.15765690803527832, 0.8051819801330566, 1.1096861362457275]"
4,10,-1,16,5.620046138763428,0.7025057673454285,0.2142007290624474,"[0.6372809410095215, 1.053344964981079, 0.4856550693511963, 0.7016990184783936, 0.39757728576660156, 0.6534779071807861, 1.013442039489746, 0.6775689125061035]"
5,1,1,8,3.909877061843872,0.977469265460968,0.5541860739162777,"[1.6053690910339355, 1.205383062362671, 1.0056750774383545, 0.09344983100891113]"
6,5,-1,12,4.0564124584198,0.6760687430699667,0.3582749771582389,"[0.15724682807922363, 0.34123706817626953, 0.6856157779693604, 0.661531925201416, 1.2052419185638428, 1.0055389404296875]"
7,5,-1,8,3.734560251235962,0.9336400628089905,0.379636045645573,"[0.8453950881958008, 1.5016241073608398, 0.949725866317749, 0.43781518936157227]"
8,30,-1,20,17.080122709274292,1.7080122709274292,0.830804484998743,"[0.8054769039154053, 0.7975807189941406, 1.6531319618225098, 2.5019450187683105, 1.0616419315338135, 1.7577860355377197, 2.013573169708252, 0.6536598205566406, 2.72563099861145, 3.10969614982605]"
9,5,-1,6,2.7919087409973145,0.9306362469991049,0.49953606815264967,"[1.5409739017486572, 0.9335589408874512, 0.31737589836120605]"
10,30,-1,12,15.32288670539856,2.55381445089976,1.128737305984837,"[2.4455580711364746, 4.949319839477539, 1.821688175201416, 1.4296391010284424, 2.3655896186828613, 2.311091899871826]"
11,1,-1,14,3.1667733192443848,0.45239618846348356,0.17307652338064686,"[0.13352131843566895, 0.4695100784301758, 0.38178396224975586, 0.33370208740234375, 0.6775579452514648, 0.549368143081665, 0.6213297843933105]"
12,10,-1,16,7.654320240020752,0.956790030002594,0.43582051448275994,"[1.437333106994629, 0.45359277725219727, 1.0471220016479492, 1.7257280349731445, 1.1338250637054443, 0.7897679805755615, 0.4377322196960449, 0.6292190551757812]"
13,5,-1,10,3.2838845252990723,0.6567769050598145,0.12842187785831474,"[0.5975112915039062, 0.6375260353088379, 0.9019689559936523, 0.621232271194458, 0.5256459712982178]"
14,1,-1,12,4.121330261230469,0.6868883768717448,0.25146801812576736,"[0.18125414848327637, 0.8292312622070312, 0.6614599227905273, 0.9976358413696289, 0.766118049621582, 0.6856310367584229]"
15,5,1,12,10.721244812011719,1.7868741353352864,0.40997802892282503,"[1.5176351070404053, 1.3096230030059814, 1.9817678928375244, 1.389488935470581, 2.0852229595184326, 2.437506914138794]"
16,30,1,12,6.361551761627197,1.0602586269378662,0.2866256761817463,"[0.973790168762207, 1.445655107498169, 0.8855407238006592, 1.4057371616363525, 1.0212879180908203, 0.6295406818389893]"
17,5,1,12,6.866092681884766,1.1443487803141277,0.6401508017617525,"[0.8614048957824707, 0.6696629524230957, 0.8055160045623779, 2.549837112426758, 0.902026891708374, 1.0776448249816895]"
18,1,1,10,4.8270368576049805,0.9654073715209961,0.302347642367315,"[1.49332594871521, 0.853369951248169, 0.8055520057678223, 1.0692260265350342, 0.6055629253387451]"
19,10,1,16,10.068230867385864,1.258528858423233,0.616524193672995,"[0.9654438495635986, 1.6854100227355957, 1.9573569297790527, 0.21358633041381836, 1.6855568885803223, 1.6936240196228027, 1.485731840133667, 0.38152098655700684]"
20,10,-1,16,6.796059846878052,0.8495074808597565,0.48344579902217155,"[0.5654680728912354, 1.246096134185791, 1.2613351345062256, 1.0774941444396973, 0.2932395935058594, 0.4536170959472656, 1.629145860671997, 0.26966381072998047]"
21,1,1,8,3.4057531356811523,0.8514382839202881,0.0999179371024936,"[0.8050920963287354, 1.021672010421753, 0.7656950950622559, 0.8132939338684082]"
22,30,1,18,11.051043033599854,1.2278936703999836,0.7465402632492177,"[0.7096610069274902, 1.1015417575836182, 2.021742820739746, 0.9174561500549316, 0.2057180404663086, 2.6458852291107178, 1.861664056777954, 0.5016899108886719, 1.085684061050415]"
23,1,-1,10,4.075715780258179,0.8151431560516358,0.1929075733818515,"[1.0458669662475586, 0.5652940273284912, 0.9413397312164307, 0.917733907699585, 0.6054811477661133]"
24,5,1,14,9.911064386367798,1.4158663409096854,0.4314258242477093,"[1.6296651363372803, 0.6774990558624268, 1.293673038482666, 1.4456918239593506, 1.9171230792999268, 1.9418041706085205, 1.005608081817627]"
25,1,-1,14,4.894191265106201,0.6991701807294574,0.21509696435482148,"[0.8933451175689697, 0.45368313789367676, 0.8054900169372559, 0.7332797050476074, 0.6456239223480225, 0.35740017890930176, 1.0053691864013672]"
26,30,-1,14,9.047037601470947,1.2924339430672782,0.6122878625614693,"[0.7092211246490479, 1.9337210655212402, 0.8536441326141357, 1.8215889930725098, 0.9254891872406006, 2.189666986465454, 0.613706111907959]"
27,10,1,18,10.199315071105957,1.133257230122884,0.3528725541462663,"[1.253499984741211, 1.50962495803833, 0.6378028392791748, 1.0377678871154785, 0.5176360607147217, 1.5682039260864258, 1.2458031177520752, 1.4552531242370605, 0.9737231731414795]"
28,30,1,18,14.490458488464355,1.6100509431627061,0.6149825177981175,"[1.5169880390167236, 2.725752830505371, 1.6135780811309814, 0.9416329860687256, 2.2219059467315674, 2.2217133045196533, 1.2775640487670898, 0.8056392669677734, 1.1656839847564697]"
29,1,1,10,5.395807266235352,1.0791614532470704,0.2517024447238807,"[1.0613999366760254, 1.0376722812652588, 1.4934380054473877, 1.101757287979126, 0.7015397548675537]"
